,date,index
0,2015/1/31,46
1,2015/2/28,58.5
2,2015/3/31,38
3,2015/4/30,32.75
4,2015/5/31,33.2
5,2015/6/30,36.25
6,2015/7/31,33.25
7,2015/8/31,30.6
8,2015/9/30,30
9,2015/10/31,33.75
10,2015/11/30,41
11,2015/12/31,66.75
12,2016/1/31,69.3
13,2016/2/29,49.25
14,2016/3/31,36.75
15,2016/4/30,28.5
16,2016/5/31,30.2
17,2016/6/30,34.5
18,2016/7/31,28.6
19,2016/8/31,27.25
20,2016/9/30,27.25
21,2016/10/31,30.2
22,2016/11/30,39
23,2016/12/31,61.25
24,2017/1/31,52
25,2017/2/28,50.75
26,2017/3/31,36.25