year,month,highest_temp,average_highest_temp,average_temp,,,,,,,,,
2015,1,23.9,18.9,16.4,,,,,,,,,
2015,2,23.8,19.5,17.5,,,,,,,,,
2015,3,28.3,22,19.9,,,,,,,,,
2015,4,31.9,26.7,23.6,,,,,,,,,
2015,5,32.6,29.9,27.5,,,,,,,,,
2015,6,34.2,32.3,29.7,,,,,,,,,
2015,7,34.4,31.8,29.1,,,,,,,,,
2015,8,36.3,32.1,29.3,,,,,,,,,
2015,9,32.9,31.1,28.4,,,,,,,,,
2015,10,31.7,28.5,26,,,,,,,,,
2015,11,30.3,26.1,24,,,,,,,,,
2015,12,25.1,20.3,18.6,,,,,,,,,
2016,1,24.3,17.8,16,,,,,,,,,
2016,2,25.9,18.2,15.5,,,,,,,,,
2016,3,25.9,20,17.5,,,,,,,,,
2016,4,29.1,26,23.6,,,,,,,,,
2016,5,32.1,29.1,26.7,,,,,,,,,
2016,6,35.5,32.4,29.4,,,,,,,,,
2016,7,35.6,32.6,29.8,,,,,,,,,
2016,8,34.4,31,28.4,,,,,,,,,
2016,9,34.9,30.4,27.9,,,,,,,,,
2016,10,32.4,29.1,26.8,,,,,,,,,
2016,11,29.2,24.5,22.3,,,,,,,,,
2016,12,25.9,21.8,19.6,,,,,,,,,
2017,1,25.5,20.6,18.5,,,,,,,,,
2017,2,25.5,20,17,,,,,,,,,
2017,3,27.6,21.7,19.3,,,,,,,,,